history,ethics,ethhic,origin,histories,,,,,,,,
what,ai,ethics,ethic,,,,,,,,,
impact,affect,influence,affects,impacts,influences,,,,,,,
jobs,work,works,job,employment,maintain,keep,,,,,,
bias,biases,prejudice,prejudices,,,,,,,,,
risk,risks,,,,,,,,,,,
ensure,transparency,decision ,making,,,,,,,,,
ethical,guidelines,rule,rules,guideline,,,,,,,,
make,moral,decision ,decisions,ethical,,,,,,,,
benefits,benefits,society,community,advantage,advantages,sociteties,,,,,,
prevent,preventing,avoiding,misuse,abuse,abuses,misapplicaiton,,,,,,
ethical,standards,research,studies,investigation,study,,,,,,,
explainable,,,,,,,,,,,,
unethical,behavior,misbehavior,act,acting ,unethically,,,,,,,
protect,privacy,data,personal ,information,info,security,secure,,,,,
emotions,consciousness,feelings,reaction,feeling,expectations,,,,,,,
human,oversight,rule,supervision,supervising,development,observation,observe,,,,,
how ,reduce,bias,prejudice,biases,prejudices,stop,,,,,,
contribute,contribution,education,school,assist,help,helps,assists,,,,,
ethical,considerations,using,implementing,ai,art,music,creatives,creative,music,sounds,movies,movie